Epoch,Iteration,Training loss_classifier,Trainingg loss_box_reg,Training total_loss,Validation loss_classifier,Validation loss_box_reg,Training mAP,Training mAP50,Training mAP75,Training AR1,Training AR10,Training AR100,Training map_small,Training map_medium,Training map_large,Training mar_small,Training mar_medium,Training mar_large,Validation mAP,Validation mAP50,Validation mAP75,Validation AR1,Validation AR10,Validation AR100,Validation map_small,Validation map_medium,Validation map_large,Validation mar_small,Validation mar_medium,Validation mar_large,Learning Rate During Training
0,100,2.31430983543396,1.7040109634399414,"tensor(4.0183, device='cuda:0', grad_fn=<AddBackward0>)",2.359551191329956,2.1469454765319824,0.24982520937919617,0.568203330039978,0.11032532155513763,0.15833333134651184,0.38333332538604736,0.42500001192092896,-1.0,0.5438944101333618,0.15783947706222534,-1.0,0.6333333253860474,0.35555556416511536,0.10590045899152756,0.3221093416213989,0.07002700865268707,0.09436620026826859,0.24929577112197876,0.32042253017425537,0.2609838545322418,0.1905195266008377,0.0872836634516716,0.4124999940395355,0.38749998807907104,0.2990909218788147,0.002
1,100,2.460470676422119,1.0547891855239868,"tensor(3.5153, device='cuda:0', grad_fn=<AddBackward0>)",2.142524003982544,0.9330763220787048,0.4374947249889374,0.7470160722732544,0.4823196530342102,0.5,0.5249999761581421,0.5375000238418579,-1.0,-1.0,0.45121440291404724,-1.0,-1.0,0.5375000238418579,0.3225790560245514,0.7862786054611206,0.1935235857963562,0.2873239517211914,0.4697183072566986,0.4767605662345886,0.30367693305015564,0.36608096957206726,0.32156798243522644,0.44999998807907104,0.4791666567325592,0.4781818091869354,0.002
2,100,2.0245285034179688,0.6088274717330933,"tensor(2.6334, device='cuda:0', grad_fn=<AddBackward0>)",1.7313448190689087,0.8303014039993286,0.5253697037696838,0.7637906670570374,0.7637906670570374,0.4000000059604645,0.6727272868156433,0.6727272868156433,-1.0,-1.0,0.5253697037696838,-1.0,-1.0,0.6727272868156433,0.40719759464263916,0.8822512030601501,0.31228283047676086,0.34366196393966675,0.5478873252868652,0.5577464699745178,0.42636457085609436,0.5071771740913391,0.3930980861186981,0.6499999761581421,0.5791666507720947,0.5463636517524719,0.002
3,100,1.5612975358963013,0.6079642176628113,"tensor(2.1693, device='cuda:0', grad_fn=<AddBackward0>)",1.3995530605316162,0.6372814178466797,0.5714285969734192,1.0,0.7123762369155884,0.47999998927116394,0.6299999952316284,0.6299999952316284,0.10000000149011612,-1.0,0.6328147053718567,0.10000000149011612,-1.0,0.6888889074325562,0.4524073600769043,0.9412045478820801,0.36384350061416626,0.38943663239479065,0.5683098435401917,0.575352132320404,0.4442574381828308,0.5651841759681702,0.44016095995903015,0.48750001192092896,0.6541666388511658,0.5645454525947571,0.002
4,100,1.4135007858276367,0.5050186514854431,"tensor(1.9185, device='cuda:0', grad_fn=<AddBackward0>)",1.9963160753250122,1.206490159034729,0.7308415770530701,1.0,0.8900989890098572,0.5899999737739563,0.75,0.75,-1.0,0.8504950404167175,0.6821781992912292,-1.0,0.8500000238418579,0.6833333373069763,0.4912455677986145,0.9217525720596313,0.48210999369621277,0.39929577708244324,0.6007042527198792,0.6028168797492981,0.5929160714149475,0.5978636145591736,0.4712132513523102,0.6875,0.675000011920929,0.5809090733528137,0.002
5,100,0.9939219355583191,0.2577989399433136,"tensor(1.2517, device='cuda:0', grad_fn=<AddBackward0>)",1.2817968130111694,0.5772287249565125,0.7680743932723999,1.0,1.0,0.4769230782985687,0.800000011920929,0.800000011920929,-1.0,0.800000011920929,0.7650919556617737,-1.0,0.800000011920929,0.800000011920929,0.5711603760719299,0.9669076204299927,0.6331642866134644,0.4549295902252197,0.6570422649383545,0.6570422649383545,0.5647689700126648,0.6339412927627563,0.5677921175956726,0.7124999761581421,0.7166666388511658,0.6399999856948853,0.002
6,100,0.9200693368911743,0.38749584555625916,"tensor(1.3076, device='cuda:0', grad_fn=<AddBackward0>)",1.1784271001815796,0.48053520917892456,0.7685525417327881,1.0,0.8690869212150574,0.6888889074325562,0.7888888716697693,0.7888888716697693,-1.0,-1.0,0.7685525417327881,-1.0,-1.0,0.7888888716697693,0.5034937262535095,0.957278847694397,0.5176416039466858,0.4119718372821808,0.6133802533149719,0.6147887110710144,0.561511218547821,0.6087508201599121,0.490587443113327,0.6625000238418579,0.675000011920929,0.5981818437576294,0.002
7,100,0.8023808598518372,0.2849651873111725,"tensor(1.0873, device='cuda:0', grad_fn=<AddBackward0>)",0.6915559768676758,0.4620327055454254,0.7523809671401978,1.0,1.0,0.6200000047683716,0.7900000214576721,0.7900000214576721,0.800000011920929,0.8252475261688232,0.7387364506721497,0.800000011920929,0.8500000238418579,0.7714285850524902,0.5533219575881958,0.9534536004066467,0.5858681797981262,0.4408450722694397,0.6633802652359009,0.6633802652359009,0.6841050386428833,0.7034120559692383,0.5284077525138855,0.762499988079071,0.7541666626930237,0.6363636255264282,0.002
8,100,0.6191748976707458,0.17183752357959747,"tensor(0.7910, device='cuda:0', grad_fn=<AddBackward0>)",3.001697063446045,0.786736786365509,0.8295100927352905,1.0,1.0,0.6000000238418579,0.8454545736312866,0.8454545736312866,0.699999988079071,0.8999999761581421,0.8429985642433167,0.699999988079071,0.8999999761581421,0.855555534362793,0.5537707209587097,0.9548174738883972,0.5525018572807312,0.44859156012535095,0.6535211205482483,0.6535211205482483,0.6863613724708557,0.6621330380439758,0.5369238257408142,0.762499988079071,0.7166666388511658,0.6318181753158569,0.002
9,100,0.491578608751297,0.18916496634483337,"tensor(0.6807, device='cuda:0', grad_fn=<AddBackward0>)",2.7509851455688477,0.7942860126495361,0.8234794735908508,1.0,1.0,0.8374999761581421,0.8374999761581421,0.8374999761581421,-1.0,-1.0,0.8234794735908508,-1.0,-1.0,0.8374999761581421,0.5809459686279297,0.9611852169036865,0.6294320225715637,0.46338027715682983,0.6788732409477234,0.6788732409477234,0.6808910965919495,0.6945387721061707,0.5611083507537842,0.737500011920929,0.762499988079071,0.6563636660575867,0.002
10,100,0.3147229850292206,0.11788462102413177,"tensor(0.4326, device='cuda:0', grad_fn=<AddBackward0>)",2.147768259048462,0.7267267107963562,0.8478736281394958,1.0,1.0,0.7200000286102295,0.8799999952316284,0.8799999952316284,-1.0,0.800000011920929,0.8539368510246277,-1.0,0.800000011920929,0.8888888955116272,0.5826343894004822,0.958508312702179,0.5804965496063232,0.4676056206226349,0.6830986142158508,0.6830986142158508,0.7182053327560425,0.700268030166626,0.5643438100814819,0.7875000238418579,0.7666666507720947,0.6572727560997009,0.001
11,100,0.29372867941856384,0.09087499231100082,"tensor(0.3846, device='cuda:0', grad_fn=<AddBackward0>)",2.871042013168335,0.7051441073417664,0.8683652877807617,1.0,1.0,0.5214285850524902,0.8928571343421936,0.8928571343421936,-1.0,-1.0,0.8683652877807617,-1.0,-1.0,0.8928571343421936,0.5852678418159485,0.9539631605148315,0.6158388257026672,0.4711267650127411,0.6873239278793335,0.6873239278793335,0.7724422216415405,0.7072539925575256,0.5617563724517822,0.824999988079071,0.7666666507720947,0.6600000262260437,0.001
12,100,0.31075602769851685,0.05877237766981125,"tensor(0.3695, device='cuda:0', grad_fn=<AddBackward0>)",1.4867533445358276,0.5939467549324036,0.9138726592063904,1.0,1.0,0.6909090876579285,0.9363636374473572,0.9363636374473572,-1.0,0.9504950642585754,0.910286009311676,-1.0,0.949999988079071,0.9333333373069763,0.5978869795799255,0.9554204344749451,0.6186208724975586,0.47746479511260986,0.6978873014450073,0.6978873014450073,0.7222399711608887,0.7012855410575867,0.5802375078201294,0.7875000238418579,0.7791666388511658,0.6736363768577576,0.001
13,100,0.15800580382347107,0.07884103804826736,"tensor(0.2368, device='cuda:0', grad_fn=<AddBackward0>)",1.5154705047607422,0.25574618577957153,0.9352192282676697,1.0,1.0,0.8333333134651184,0.9444444179534912,0.9444444179534912,-1.0,-1.0,0.9352192282676697,-1.0,-1.0,0.9444444179534912,0.598537027835846,0.9494244456291199,0.6421770453453064,0.48028168082237244,0.6971830725669861,0.6971830725669861,0.7245827317237854,0.7184763550758362,0.5809687376022339,0.737500011920929,0.7916666865348816,0.6736363768577576,0.001
14,100,0.15637877583503723,0.06565108150243759,"tensor(0.2220, device='cuda:0', grad_fn=<AddBackward0>)",2.7390854358673096,0.581339418888092,0.8791886568069458,1.0,1.0,0.6727272868156433,0.918181836605072,0.918181836605072,-1.0,-1.0,0.8791886568069458,-1.0,-1.0,0.918181836605072,0.6018908023834229,0.9496756792068481,0.6091191172599792,0.4866197109222412,0.705633819103241,0.705633819103241,0.7552805542945862,0.718428909778595,0.5856506824493408,0.762499988079071,0.7875000238418579,0.6836363673210144,0.001
15,100,0.12993577122688293,0.06709156930446625,"tensor(0.1970, device='cuda:0', grad_fn=<AddBackward0>)",1.8306870460510254,0.6373166441917419,0.9222442507743835,1.0,1.0,0.5,0.9399999976158142,0.9399999976158142,-1.0,0.9252475500106812,0.9245874881744385,-1.0,0.949999988079071,0.9333333373069763,0.5969762802124023,0.9511597156524658,0.6387180685997009,0.4781690239906311,0.6971830725669861,0.6971830725669861,0.7133663296699524,0.7258663177490234,0.5788253545761108,0.7250000238418579,0.7958333492279053,0.6736363768577576,0.001
16,100,0.06263809651136398,0.05530466139316559,"tensor(0.1179, device='cuda:0', grad_fn=<AddBackward0>)",1.3978842496871948,0.2823088467121124,0.8905088305473328,1.0,1.0,0.5538461804389954,0.9076923131942749,0.9076923131942749,-1.0,0.8610560894012451,0.9054455161094666,-1.0,0.8999999761581421,0.9100000262260437,0.5846510529518127,0.9481343626976013,0.6104137897491455,0.4746478796005249,0.6943662166595459,0.6943662166595459,0.7475247383117676,0.7193934321403503,0.5600988268852234,0.75,0.800000011920929,0.6672727465629578,0.001
17,100,0.08992466330528259,0.048582326620817184,"tensor(0.1385, device='cuda:0', grad_fn=<AddBackward0>)",0.9150077104568481,0.19330641627311707,0.907355010509491,1.0,1.0,0.925000011920929,0.925000011920929,0.925000011920929,-1.0,1.0,0.9024752378463745,-1.0,1.0,0.9142857193946838,0.5881524682044983,0.9497597813606262,0.5978763699531555,0.4732394218444824,0.6922535300254822,0.6922535300254822,0.7252475023269653,0.7095522284507751,0.5694422125816345,0.737500011920929,0.7875000238418579,0.668181836605072,0.001
